file_name,WAMPI,PCI,LPI,catalog_number,museum,class,ordr,family,genus,species,name,element,remarks,field_num,loc_ID_num
UCMP_297853.0,0.6092197654713756,3.090384543881502,1.1263440821157154,297853,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,distal tibiotarsus,"part of ""Fauna No. 2 Purchased""",NA,-7139
UCMP_297854.0,0.7530748780179696,3.149038629170404,1.37612357572771,297854,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,carpometacarpus fragment,"part of ""Fauna No. 2 Purchased""",NA,-7139
UCMP_299876.0,0.8188642563055082,3.0807974988809135,1.2003760279686104,299876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCMP_299877.0,0.8571757480745928,3.013287625144278,1.3637311089592272,299877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCMP_299878.0,0.44669314681091715,3.2269081941330855,1.3925224347596972,299878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCMP_299879.0,0.48301010880484874,3.1192199243663232,2.2723438839947323,299879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCMP_299880.0,0.33546576179429494,3.3855773686340527,0.5800923801247252,299880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCMP_299881.0,0.3616567919007061,3.3033117884258596,1.2050908984719584,299881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCMP_299882.0,0.37320744531599326,3.1784275307589915,0.6108251787614741,299882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCMP_299883.0,0.5359907833779353,2.936377582433882,1.0810754233463955,299883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UCMP_35188.0,0.6092617803000412,3.0430069026764794,1.5473204239339358,35188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,297785,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,left proximal carpometacarpus,"part of ""Fauna No. 2 Purchased""",Loc 1 Lot 14,-7139
NA,NA,NA,NA,297840,UCMP,Aves,Ciconiiformes,Ciconiidae,Ciconia,maltha,Ciconia maltha,coracoid fragment,"part of ""Fauna No. 2 Purchased""",Loc 4 Lot 81,-7139
