name,value,probability
LPI,0.716155211083769,0.6372935645685956
weathering_score,0.3283283283283283,0.852172704690751
WAMPI,0.27078065535358137,0.031536041532099116
PCI,2.768922541198496,0.9297274659949476
LPI,0.7208795630753408,0.638902723167642
weathering_score,0.33233233233233234,0.8517014286561547
WAMPI,0.2718427956822501,0.032226422403163646
PCI,2.7704762383242336,0.9293152059263865
LPI,0.7256039150669127,0.6405087697723566
weathering_score,0.3363363363363363,0.8512289124783965
WAMPI,0.2729049360109188,0.03293140303575921
PCI,2.7720299354499716,0.9289007122526673
LPI,0.7303282670584845,0.6421116745237485
weathering_score,0.34034034034034033,0.8507551545668219
WAMPI,0.27396707633958756,0.033651269471108164
PCI,2.773583632575709,0.92848397504627
LPI,0.7350526190500564,0.6437114078317895
weathering_score,0.34434434434434436,0.850280153339784
WAMPI,0.27502921666825625,0.03438631235178835
PCI,2.7751373297014466,0.9280649843612416
LPI,0.7397769710416282,0.6453079403771106
weathering_score,0.3483483483483483,0.8498039072247235
WAMPI,0.276091356996925,0.03513682695033195
PCI,2.776691026827184,0.9276437302334983
LPI,0.7445013230332,0.6469012431126511
weathering_score,0.35235235235235235,0.8493264146582504
WAMPI,0.2771534973255937,0.03590311319565483
PCI,2.7782447239529215,0.9272202026811304
LPI,0.749225675024772,0.6484912872652621
weathering_score,0.3563563563563564,0.8488476740862244
WAMPI,0.27821563765426244,0.036685475697179594
PCI,2.779798421078659,0.9267943917047138
LPI,0.7539500270163438,0.6500780443372616
weathering_score,0.36036036036036034,0.8483676839638368
WAMPI,0.27927777798293113,0.03748422376650706
PCI,2.7813521182043965,0.9263662872876256
LPI,0.7586743790079157,0.6516614861079456
weathering_score,0.36436436436436437,0.8478864427556916
WAMPI,0.2803399183115999,0.03829967143648916
PCI,2.7829058153301345,0.9259358793963649
LPI,0.7633987309994875,0.6532415846350497
weathering_score,0.3683683683683684,0.8474039489358876
WAMPI,0.28140205864026857,0.03913213747754808
PCI,2.784459512455872,0.9255031579808791
LPI,0.7681230829910594,0.6548183122561656
