wavenumber,absorbance,file_name,catalog_number
691,0.11057593088146273,mckittrick_tar,tar
692,0.11090642406082707,mckittrick_tar,tar
693,0.1114655432827849,mckittrick_tar,tar
694,0.11254496552711718,mckittrick_tar,tar
695,0.1139344369400937,mckittrick_tar,tar
696,0.11498905618945754,mckittrick_tar,tar
697,0.11517262293449654,mckittrick_tar,tar
698,0.11455077591567014,mckittrick_tar,tar
699,0.11372940232837259,mckittrick_tar,tar
700,0.1133262804498193,mckittrick_tar,tar
701,0.11350575749415354,mckittrick_tar,tar
702,0.11394982749166943,mckittrick_tar,tar
703,0.11420247262497696,mckittrick_tar,tar
704,0.11405935773372033,mckittrick_tar,tar
705,0.11369380939034562,mckittrick_tar,tar
706,0.11345378840998227,mckittrick_tar,tar
707,0.11354495772872009,mckittrick_tar,tar
708,0.11387360721445527,mckittrick_tar,tar
709,0.11415564776632559,mckittrick_tar,tar
710,0.11418669046643498,mckittrick_tar,tar
711,0.11404712708836989,mckittrick_tar,tar
712,0.1141000743379113,mckittrick_tar,tar
713,0.11482189110621083,mckittrick_tar,tar
714,0.1165397153963526,mckittrick_tar,tar
715,0.1191819078625645,mckittrick_tar,tar
716,0.12225349068384644,mckittrick_tar,tar
717,0.12509521562575826,mckittrick_tar,tar
718,0.127229661043832,mckittrick_tar,tar
719,0.12862061980542033,mckittrick_tar,tar
720,0.1296740606247842,mckittrick_tar,tar
721,0.13078734066411452,mckittrick_tar,tar
722,0.13175476755794607,mckittrick_tar,tar
723,0.13183621146301255,mckittrick_tar,tar
724,0.1306724939042631,mckittrick_tar,tar
725,0.12901772145287,mckittrick_tar,tar
726,0.12822182934239884,mckittrick_tar,tar
727,0.1289188311904021,mckittrick_tar,tar
728,0.1305374888837431,mckittrick_tar,tar
729,0.13221632511361697,mckittrick_tar,tar
730,0.13376576535171208,mckittrick_tar,tar
731,0.13538628600259478,mckittrick_tar,tar
732,0.1367766272261846,mckittrick_tar,tar
733,0.13710451869355983,mckittrick_tar,tar
734,0.13600485164636705,mckittrick_tar,tar
735,0.13429019816876803,mckittrick_tar,tar
736,0.1333653151792859,mckittrick_tar,tar
737,0.13399402822946788,mckittrick_tar,tar
738,0.13586941749862486,mckittrick_tar,tar
739,0.13829520681149482,mckittrick_tar,tar
740,0.1408848351410688,mckittrick_tar,tar
741,0.14352815284502324,mckittrick_tar,tar
742,0.146087158796868,mckittrick_tar,tar
743,0.14833218790727548,mckittrick_tar,tar
744,0.14992463269613404,mckittrick_tar,tar
745,0.15035752078255954,mckittrick_tar,tar
746,0.14923184636046732,mckittrick_tar,tar
747,0.14680259766066278,mckittrick_tar,tar
748,0.14405006095827083,mckittrick_tar,tar
749,0.14199661258256374,mckittrick_tar,tar
750,0.14100214333130595,mckittrick_tar,tar
751,0.14079321413587126,mckittrick_tar,tar
752,0.14102825528112933,mckittrick_tar,tar
753,0.14160886481803653,mckittrick_tar,tar
754,0.14247560419649946,mckittrick_tar,tar
755,0.14346135349859374,mckittrick_tar,tar
756,0.14455856794917382,mckittrick_tar,tar
757,0.14604386548022913,mckittrick_tar,tar
758,0.14800518158130754,mckittrick_tar,tar
759,0.14987292141653424,mckittrick_tar,tar
