sampled,museum,catalog_number,UCIAMS_number,taxon,genus,species,locality,ucmp_locality,side,element,collagen_present,batch,publication
TRUE,UCMP,240383,,,Bison,,McKittrick,,,,,4,
TRUE,UCMP,240554,,,Bison,,McKittrick,,,,,4,
TRUE,UCMP,240555,,,Bison,,McKittrick,,,,,4,
TRUE,UCMP,240562,,,Bison,,McKittrick,,,,,4,
TRUE,UCMP,240638,,,Bison,,McKittrick,,,,,4,
TRUE,UCMP,240644,,,Bison,,McKittrick,,,,,4,
TRUE,UCMP,246457,,,Bison,,McKittrick,,,,,4,
TRUE,UCMP,287400,,,Bison,,McKittrick,,,,,4,
TRUE,UCMP,287403,,,Bison,,McKittrick,,,,,4,
TRUE,UCMP,153251,,Camelops,Camelops,,McKittrick,1370,left,,,1,
TRUE,UCMP,241059,,Camelops,Camelops,,McKittrick,7139,right,mt,,1,
TRUE,UCMP,241060,,Camelops,Camelops,,McKittrick,7139,left,,,1,
TRUE,UCMP,271239,,Camelops,Camelops,,McKittrick,7139,left,,,1,
TRUE,UCMP,287459,,Camelops,Camelops,,McKittrick,7139,right,femur distal,,1,
TRUE,UCMP,234640,,,Camelops,hesternus,McKittrick,,,,,4,
TRUE,UCMP,234983,,,Camelops,hesternus,McKittrick,,,,,4,
TRUE,UCMP,241163,,,Camelops,hesternus,McKittrick,,,,,4,
TRUE,UCMP,241164,,,Camelops,hesternus,McKittrick,,,,,4,
TRUE,UCMP,212877,,,Canis,latrans,McKittrick,,,,,3,
TRUE,UCMP,212880,,,Canis,latrans,McKittrick,,,,,2,
TRUE,UCMP,212881,,,Canis,latrans,McKittrick,,,,,2,
TRUE,UCMP,212883,,,Canis,latrans,McKittrick,,,,,3,
TRUE,UCMP,237899,,,Canis,latrans,McKittrick,,,,,3,
TRUE,UCMP,237901,,,Canis,latrans,McKittrick,,,,,3,
TRUE,UCMP,237902,,,Canis,latrans,McKittrick,,,,,3,
TRUE,UCMP,237907,,,Canis,latrans,McKittrick,,,,,3,
TRUE,UCMP,237910,,,Canis,latrans,McKittrick,,,,,3,
TRUE,UCMP,237911,,,Canis,latrans,McKittrick,,,,,3,
TRUE,UCMP,237912,,,Canis,latrans,McKittrick,,,,,3,
TRUE,UCMP,237914,,,Canis,latrans,McKittrick,,,,,3,
TRUE,UCMP,237915,,,Canis,latrans,McKittrick,,,,,3,
TRUE,UCMP,237917,,,Canis,latrans,McKittrick,,,,,3,
TRUE,UCMP,237919,,,Canis,latrans,McKittrick,,,,,3,
TRUE,UCMP,237920,,,Canis,latrans,McKittrick,,,,,3,
TRUE,UCMP,237924,,,Canis,latrans,McKittrick,,,,,3,
TRUE,UCMP,237925,,,Canis,latrans,McKittrick,,,,,3,
